feature,ttest,pvalue
degree_avg,-0.2027893834794498,0.8395435932908916
degree_interHemisphere_avg,-0.3850210703075115,0.7007059284366906
degree_intraHemisphere_avg,-0.00825866210390651,0.9934203567089956
degree_neg_avg,-0.36491844443741045,0.7156285392532622
degree_interHemisphere_neg_avg,-0.45673135618537636,0.6484506331083184
degree_intraHemisphere_neg_avg,-0.5471391958012143,0.5850048744405045
strength_global,-0.4035887647922257,0.687025336223211
strength_global_offDiagonal,-0.14657100368005982,0.883645336610047
strength_interHemisphere_global,-0.5324686100657808,0.5951008564489426
strength_intraHemisphere_global,0.8968375405530129,0.3710813777769981
strength_global_neg,0.8603265505514384,0.3908279031521851
strength_global_offDiagonal_neg,-0.6279479993700833,0.530885624721898
strength_interHemisphere_global_neg,0.8738678105608358,0.38343031247388093
node_betweenness_centrality_avg,-0.23568348908784212,0.813963648104936
eigenvector_centrality_avg,-0.21187547602225493,0.832459490629522
